X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,date
matchuplink,513514,8:00p,New OrleansHoustonOptions,ROOT SPORTS674,221½ -110-10 -110,41.3%58.7%,224½ -108-12 -108,224½ -110-12 -110,224½ -110-12 -110,224 -115-11½ -115,225 -105-12 -105,224½ -110-12 -110,225 -115-12½ -105,224½ -110-12 -110,224½ -110-12 -110,224 -115-11½ -115,2016-12-16
matchuplink,515516,8:00p,L.A. LakersPhiladelphiaOptions,ESPN206,212½ -110-1½ -110,53.2%46.8%,210½ -109-1 -105,210½ -110-1 -110,210½ -110-1½ -105,210½ -115-1 -107,PK -105210½ -105,210½ -110-1 -110,PK -110210 -115,210½ -110-1½ -105,210½ -110-1 -110,210½ -115-1 -107,2016-12-16
matchuplink,517518,8:00p,L.A. ClippersMiamiOptions,SUN653,-7 -110206 -110,0.0%0.0%,-7½ -107206 -106,-7½ -110206 -110,-8 -106206 -110,-8 -105206½ -110,-7½ -105206 -105,-8 -105206 -110,-8 -110207 -115,-8 -106206 -110,-7½ -115206 -110,-8 -105206½ -110,2016-12-16
matchuplink,519520,10:30p,DallasUtahOptions,ESPN206,188 -110-11 -110,38.5%61.5%,185 -107-10½ -107,185 -110-11 -110,184½ -110-11 -115,185½ -110-11 -117,185 -105-11½ -105,186 -110-11 -110,187 -115-12 -105,184½ -110-11 -115,185 -110-11 -110,185½ -110-11 -117,2016-12-16
matchuplink,701702,8:00p,IndianaNew OrleansOptions,FS-NO676-4,213 -110-2½ -110,48.2%51.8%,209 -105-2½ -110,208½ -110-2½ -110,208½ -110-3 -110,209 -110-2½ -125,209 -105-3 -105,208 -110-2½ -110,209 -110-3 -105,208½ -110-3 -110,209 -110-2½ -115,209 -110-2½ -125,2016-12-15
matchuplink,703704,8:00p,ChicagoMilwaukeeOptions,TNT245,209½ -110-1 -110,0.0%0.0%,206½ -108-1 -103,-1½ -103206 -118,PK -110206½ -110,206½ -110PK -118,PK -105207 -105,PK -110206½ -110,-1 -110207 -110,PK -110206½ -110,-1 -110206½ -110,206½ -110PK -118,2016-12-15
matchuplink,705706,9:00p,San AntonioPhoenixOptions,686FS-AZ,-7½ -110210 -110,55.6%44.4%,-8 -106211 -108,-8 -110211½ -110,-8 -110211½ -110,-8 -110211 -115,-8 -105211½ -105,-8 -110211½ -110,-8 -115211 -115,-8 -110211½ -110,-8 -110211½ -110,-8 -110211 -115,2016-12-15
matchuplink,707708,9:00p,PortlandDenverOptions,ALT681,222½ -110-1 -110,51.7%48.3%,222 -106-3 -107,222 -108-3 -107,221½ -110-2½ -115,221½ -115-2½ -115,222 -105-3 -105,222 -110-3 -105,222 -110-2½ -115,221½ -110-2½ -115,221 -110-2½ -115,221½ -115-2½ -115,2016-12-15
matchuplink,709710,10:30p,New YorkGolden StateOptions,TNT245,227 -110-14½ -110,42.6%57.4%,222½ -106-17 -110,222 -110-17½ -110,222 -110-17½ -110,222½ -120-17 -115,222½ -105-17½ -105,222 -110-17½ -110,223 -115-17½ -120,222 -110-17½ -110,222 -110-17½ -110,222½ -120-17 -115,2016-12-15
matchuplink,501502,7:00p,IndianaMiamiOptions,ESPN206,PK -110207½ -110,58.8%41.2%,-1½ +101204 -113,-1 -110204 -110,-1 -110204 -110,-1½ -110204 -115,-1½ -105203½ -105,-1 -110204 -110,-1½ -105204 -115,-1 -110204 -110,-1 -110204 -110,-1½ -110204 -115,2016-12-14
matchuplink,503504,7:00p,TorontoPhiladelphiaOptions,CSN-PH,-8½ -110208 -110,58.6%41.4%,-8 -102205 -105,-8 -110205 -110,-7½ -110205½ -110,-8 +105205 -110,-8 -105205½ -105,-7½ -118205½ -110,-8½ -110205 -110,-7½ -110205½ -110,-8 -110205 -110,-8 +105205 -110,2016-12-14
matchuplink,505506,7:00p,L.A. ClippersOrlandoOptions,654FS-FL,-9 -110207½ -110,54.1%45.9%,-8 -100210 -110,-8½ -110210½ -110,-8½ -105210 -110,-8 -110210 -118,-8 -105211 -105,-8½ -105210 -110,-8½ -110211 -110,-8½ -105210 -110,-8½ -110210½ -110,-8 -110210 -118,2016-12-14
matchuplink,507508,7:00p,CharlotteWashingtonOptions,642CSN-DC,PK -110210 -110,52.9%47.1%,-2 -105212 -107,-2 -110211 -110,-2 -110211½ -110,-2 -110211½ -110,-2 -105211½ -105,-2 -110211½ -110,-2 -110211 -115,-2 -110211½ -110,-2 -110211 -110,-2 -110211½ -110,2016-12-14
matchuplink,509510,7:30p,L.A. LakersBrooklynOptions,YES631,-1½ -110225 -110,54.1%45.9%,-1½ -102228 -106,-1 -110228 -110,-1 -110228 -110,-1 -115228 -110,-1½ -105228½ -105,-1 -110228 -110,-1 -110229 -110,-1 -110228 -110,-1½ -110228 -110,-1 -115228 -110,2016-12-14
