"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-55056","PF","Dario","","Saric","18.78461475861378","39","4200","TOR@PHI","PHI","TOR","","","",""
"17699-15501","SG","Allen","","Crabbe","17.032558707303778","43","4100","POR@CHA","POR","CHA","","","",""
"17699-9454","C","Zaza","","Pachulia","16.97837870829814","37","4100","OKC@GS","GS","OKC","","","",""
"17699-71420","PG","Sergio","","Rodriguez","20.737142508370535","35","4100","TOR@PHI","PHI","TOR","","","",""
"17699-11074","SG","Garrett","","Temple","16.175","40","4100","IND@SAC","SAC","IND","","","",""
"17699-15417","SF","Solomon","","Hill","14.519999694824218","40","4000","ORL@NO","NO","ORL","","","",""
"17699-9920","PF","Anthony","","Tolliver","13.142857142857142","28","4000","IND@SAC","SAC","IND","","","",""
"17699-71345","SF","Mindaugas","","Kuzminskas","9.877143205915178","35","3900","NY@BOS","NY","BOS","","","",""
"17699-14529","PG","Cory","","Joseph","17.832499694824218","40","3900","TOR@PHI","TOR","PHI","","","",""
"17699-9953","C","Ian","","Mahinmi","4.199999809265137","1","3900","MEM@WAS","WAS","MEM","O","Knee","",""
"17699-63826","C","Boban","","Marjanovic","9.173684371145148","19","3900","ATL@DET","DET","ATL","","","",""
"17699-9664","SF","Andre","","Iguodala","16.810000610351562","40","3900","OKC@GS","GS","OKC","","","",""
"17699-9700","C","Spencer","","Hawes","15.413793103448276","29","3900","POR@CHA","CHA","POR","","","",""
"17699-9715","SG","Marco","","Belinelli","16.97222222222222","36","3900","POR@CHA","CHA","POR","","","",""
"17699-12340","PF","Patrick","","Patterson","17.7242431640625","33","3800","TOR@PHI","TOR","PHI","O","Knee","",""
"17699-23665","SG","Buddy","","Hield","14.25","42","3800","ORL@NO","NO","ORL","","","",""
"17699-15548","SF","Andre","","Roberson","17.56511599518532","43","3800","OKC@GS","OKC","GS","","","",""
"17699-9968","SG","Jodie","","Meeks","15.58695652173913","23","3800","ORL@NO","ORL","NO","","","",""
