gid,name,espn_id,espn_name,team,gp,gs,min,fg,fga,3p,3pa,ft,fta,orb,drb,rb,ast,stl,blk,to,pf,dq,+/-,dd,td,fanduel pts,draftkings pts,draftday pts,yahoo pts,fanduel position,fanduel salary,draftkings position,draftkings salary,draftday position,draftday salary,yahoo position,yahoo salary,team pts,oppt pts,total pts
4087,"Brown, Bobby",3472,"Brown, Bobby",hou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,12,5000,2,10,77,95,172
5017,"Brown, Jaylen",0,"Brown, Jaylen",bos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,3,3000,3,5000,3,10,98,91,189
4615,"Burke, Trey",2579260,"Burke, Trey",was,1,0,9.283333333,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,-7,0,0,5,5,4.5,5,1,3500,1,3000,1,5000,1,10,91,98,189
4766,"Capela, Clint",3102529,"Capela, Clint",hou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5300,5,4800,45,11850,5,19,77,95,172
2448,"Carter, Vince",136,"Carter, Vince",mem,1,0,23.75,2,5,2,3,2,2,1,2,3,1,1,1,0,1,0,-10,0,0,17.1,18.25,18.5,18.1,3,3500,23,3300,23,6650,2,10,71,75,146
4994,"Christon, Semaj",0,"Christon, Semaj",okc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,75,71,146
3523,"Collison, Nick",1978,"Collison, Nick",okc,1,0,4.383333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-1,-0.5,-0.5,-1,4,3500,5,3000,45,5000,4,10,75,71,146
3979,"Conley, Mike",3195,"Conley, Mike",mem,1,1,28.66666667,4,13,2,5,2,2,2,2,4,4,1,0,0,1,0,-4,0,0,24.8,26,24.75,25.8,1,7200,1,6900,1,14750,1,29,71,75,146
4811,"Connaughton, Pat",0,"Connaughton, Pat",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,3,3000,23,5000,2,10,0,0,0
4570,"Covington, Robert",2490620,"Covington, Robert",phi,1,1,32.01666667,5,10,3,6,0,0,1,4,5,4,1,0,2,1,0,11,0,0,25,27.75,28,26.5,3,5500,3,6000,34,10750,3,20,98,97,195
4561,"Crabbe, Allen",2531210,"Crabbe, Allen",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4200,23,4400,12,8450,2,11,0,0,0
3116,"Crawford, Jamal",165,"Crawford, Jamal",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4000,2,4100,23,7750,2,14,0,0,0
4472,"Crowder, Jae",6581,"Crowder, Jae",bos,1,1,30.28333333,7,10,4,6,2,2,0,5,5,0,1,1,0,0,0,-2,0,0,30,32.25,33.5,32,3,5000,3,5200,34,10850,3,21,98,91,189
4658,"Daniels, Troy",2489530,"Daniels, Troy",mem,1,0,3.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-0.25,0,2,3500,2,3000,12,6850,2,10,71,75,146
4928,"Davis, Deyonta",0,"Davis, Deyonta",mem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,4,3000,4,5000,4,10,71,75,146
4276,"Davis, Ed",4259,"Davis, Ed",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,5,3000,45,6700,5,10,0,0,0
4856,"Dekker, Sam",0,"Dekker, Sam",hou,1,0,20.43333333,3,8,2,4,0,0,1,1,2,0,0,0,1,0,0,-14,0,0,9.4,11,10.75,10.4,3,3500,34,3500,34,6000,3,10,77,95,172
