RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
225,"Jerian Grant, CHI",32,15.2,.497,21.9,8.2,16.7,1.7,9.2,5.4,11.58,4.2,0.1
226,"Joe Johnson, UTAH",41,22.1,.528,15.6,8.6,17.5,1.7,12.5,7.4,11.56,14.4,0.5
,"E'Twaun Moore, NO",36,24.8,.521,19.0,8.3,17.7,2.0,6.9,4.4,11.56,14.1,0.5
228,"Vince Carter, MEM",35,23.5,.517,16.7,6.0,15.5,2.4,14.1,8.1,11.54,12.8,0.4
229,"Bismack Biyombo, ORL",40,25.2,.518,13.7,16.2,11.9,9.1,24.2,16.4,11.51,13.7,0.5
230,"Terry Rozier, BOS",36,17.7,.481,21.0,7.2,15.8,3.1,17.2,10.2,11.49,4.6,0.2
231,"Marcus Smart, BOS",37,30.4,.481,26.2,11.4,18.3,3.4,10.4,6.9,11.47,7.9,0.3
232,"Rodney Stuckey, IND",17,20.3,.538,17.1,13.2,20.8,1.0,13.4,7.3,11.44,2.3,0.1
233,"Luol Deng, LAL",42,27.4,.481,14.5,7.3,14.3,4.9,18.4,11.4,11.39,15.2,0.5
234,"Andre Iguodala, GS",39,25.1,.550,35.9,7.1,10.5,3.3,11.6,7.8,11.38,12.9,0.4
235,"Allen Crabbe, POR",42,29.4,.601,11.2,8.1,14.0,1.2,10.5,5.8,11.24,13.6,0.5
236,"Rajon Rondo, CHI",31,29.9,.409,38.0,14.3,19.0,3.7,19.0,11.2,11.16,2.2,0.1
237,"Rondae Hollis-Jefferson, BKN",35,21.8,.479,17.5,12.0,17.5,3.7,17.6,10.8,11.07,6.5,0.2
238,"Ed Davis, POR",39,17.3,.560,10.6,16.2,10.8,13.2,21.1,17.1,11.00,-5.0,-0.2
239,"Kyle Korver, ATL/CLE",35,27.5,.591,19.7,10.6,14.2,0.2,11.1,5.7,10.98,6.9,0.2
240,"Alexis Ajinca, NO",21,14.1,.488,6.0,14.6,14.8,7.7,24.4,16.0,10.97,1.7,0.1
241,"Jamal Crawford, LAC",41,26.5,.504,16.6,10.7,22.1,0.6,5.5,3.2,10.96,7.4,0.2
242,"Kyle Anderson, SA",34,13.0,.531,23.5,12.9,10.3,3.8,19.1,11.7,10.94,2.9,0.1
243,"Devin Harris, DAL",23,15.3,.533,18.4,10.2,16.6,1.2,14.1,7.2,10.84,-0.8,-0.0
244,"Nemanja Bjelica, MIN",38,16.7,.531,14.2,11.4,16.8,3.9,18.6,11.1,10.78,-6.8,-0.2
245,"Derrick Williams, MIA",23,16.0,.465,7.7,6.6,19.1,4.6,16.8,10.6,10.77,-4.0,-0.1
246,"Buddy Hield, NO",40,20.4,.505,12.1,7.6,19.9,1.9,12.6,7.2,10.76,3.2,0.1
,"Spencer Dinwiddie, BKN",16,17.9,.547,26.0,15.2,15.1,2.2,12.7,7.5,10.76,-1.0,-0.0
248,"Pascal Siakam, TOR",36,17.9,.523,7.0,12.5,11.9,7.8,14.7,11.2,10.74,-7.3,-0.2
249,"Courtney Lee, NY",35,30.9,.553,16.4,6.7,13.1,2.2,7.4,4.8,10.73,3.7,0.1
,"Jason Smith, WSH",36,11.6,.543,7.2,16.6,16.4,8.2,18.9,13.5,10.73,-4.8,-0.2
251,"Raymond Felton, LAC",39,21.1,.500,21.4,10.9,16.4,2.1,10.8,6.6,10.71,-3.6,-0.1
252,"Jonathon Simmons, SA",39,18.7,.523,20.6,11.9,16.8,2.0,10.9,6.6,10.67,1.9,0.1
253,"Marcus Thornton, WSH",33,17.4,.494,13.9,8.7,18.0,4.4,10.9,7.6,10.65,1.3,0.0
254,"Luc Mbah a Moute, LAC",39,23.5,.570,6.0,10.8,11.2,3.9,7.7,5.8,10.54,-13.2,-0.4
255,"Trey Burke, WSH",34,12.1,.531,21.6,11.0,18.8,1.4,4.2,2.8,10.52,-3.0,-0.1
256,"Mirza Teletovic, MIL",32,18.0,.556,8.9,8.9,17.9,1.4,15.3,8.6,10.49,-8.7,-0.3
257,"Doug McDermott, CHI",27,26.3,.533,10.7,6.7,15.9,1.6,11.0,6.2,10.45,-0.5,-0.0
,"Darrell Arthur, DEN",17,14.8,.623,13.9,16.5,16.3,3.1,12.7,7.9,10.45,-3.9,-0.1
259,"Omer Asik, NO",29,16.3,.517,13.7,11.0,8.3,10.5,25.3,17.8,10.44,-1.1,-0.0
260,"Jonas Jerebko, BOS",40,16.7,.566,15.0,10.3,11.6,5.5,16.7,11.1,10.41,-10.9,-0.4
261,"Shaun Livingston, GS",39,17.4,.584,24.8,11.5,12.8,3.0,9.2,6.3,10.40,-6.1,-0.2
