Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17633-70827,C,Ivica,,Zubac,3.757142748,7,3500,LAL@SA,LAL,SA,,
17633-9643,PG,Shaun,,Livingston,10.52368405,38,3500,DET@GS,GS,DET,,
17633-70832,SF,Paul,,Zipser,2.339999962,10,3500,CHI@NY,CHI,NY,,
17633-17332,PF,Tarik,,Black,13.94000041,30,3500,LAL@SA,LAL,SA,,
17633-74164,PG,Nicolas,,Laprovittola,5.777777778,18,3500,LAL@SA,SA,LAL,,
17633-23744,SF,Justin,,Anderson,13.58571429,35,3500,DAL@PHO,DAL,PHO,,
17633-16071,PG,Tim,,Frazier,24.37878788,33,3500,NO@BKN,NO,BKN,,
17633-9674,SG,Leandro,,Barbosa,10.14594578,37,3500,DAL@PHO,PHO,DAL,,
17633-9677,PF,Jared,,Dudley,15.3,30,3500,DAL@PHO,PHO,DAL,,
17633-16335,SG,John,,Jenkins,2.424999952,4,3500,DAL@PHO,PHO,DAL,,
17633-23248,SG,R.J.,,Hunter,0.400000016,3,3500,CHI@NY,CHI,NY,,
17633-58576,PF,Kevon,,Looney,7.796551935,29,3500,DET@GS,GS,DET,,
17633-9939,PG,Patty,,Mills,17.96052632,38,3500,LAL@SA,SA,LAL,,
17633-9940,SF,Dante,,Cunningham,13.5692303,26,3500,NO@BKN,NO,BKN,,
17633-66521,PG,Marcelo,,Huertas,8.337499619,16,3500,LAL@SA,LAL,SA,,
17633-14554,SG,E'Twaun,,Moore,17.11428571,35,3500,NO@BKN,NO,BKN,,
17633-16859,SF,Lance,,Thomas,8.778571538,28,3500,CHI@NY,NY,CHI,,
17633-16348,SG,Darrun,,Hilliard,5.791304215,23,3500,DET@GS,DET,GS,,
17633-16604,SG,Justin,,Holiday,13.38717886,39,3500,CHI@NY,NY,CHI,,
17633-23772,PG,Yogi,,Ferrell,8.790000153,10,3500,NO@BKN,BKN,NO,,
17633-9693,PG,Beno,,Udrih,12.97499975,24,3500,DET@GS,DET,GS,,
17633-12511,PG,Ish,,Smith,20.1,40,3500,DET@GS,DET,GS,,
17633-15585,SG,Michael,,Gbinije,1.325000048,8,3500,DET@GS,DET,GS,GTD,Forearm
17633-15589,C,Marshall,,Plumlee,4.899999936,3,3500,CHI@NY,NY,CHI,,
17633-23273,C,A.J.,,Hammons,3.529411765,17,3500,DAL@PHO,DAL,PHO,,
17633-16363,SG,Joe,,Harris,14.28571429,35,3500,NO@BKN,BKN,NO,,
17633-23788,SG,Bryn,,Forbes,1.407692249,13,3500,LAL@SA,SA,LAL,,
17633-58350,SF,Stanley,,Johnson,9.266666836,36,3500,DET@GS,DET,GS,,
17633-9712,PG,Jose,,Calderon,9.350000381,16,3500,LAL@SA,LAL,SA,,
17633-63478,C,Cristiano,,Felicio,11.5516131,31,3500,CHI@NY,CHI,NY,,
17633-16376,SF,Dorian,,Finney-Smith,10.76216249,37,3500,DAL@PHO,DAL,PHO,,
