"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17911-59483","PF","Chris","","McCullough","4.8000001173753","13","3500","BKN@CHA","BKN","CHA","","","",""
"17911-23780","PF","Jake","","Layman","4.013043610945992","23","3500","POR@DAL","POR","DAL","","","",""
"17911-23273","C","A.J.","","Hammons","3.5294117647058822","17","3500","POR@DAL","DAL","POR","","","",""
"17911-41065","PG","Tim","","Quarterman","2.9750000635782876","12","3500","POR@DAL","POR","DAL","","","",""
"17911-16363","SG","Joe","","Harris","14.102326149164243","43","3500","BKN@CHA","BKN","CHA","","","",""
"17911-15469","PF","Quincy","","Acy","8.544444613986546","18","3500","BKN@CHA","BKN","CHA","O","Ankle","",""
"17911-15474","PG","Pierre","","Jackson","8.366667005750868","9","3500","POR@DAL","DAL","POR","","","",""
"17911-23282","SF","Sam","","Dekker","14.848147922092014","54","3500","ORL@HOU","HOU","ORL","","","",""
"17911-74101","PG","Bobby","","Brown","1.6333333333333333","15","3500","ORL@HOU","HOU","ORL","","","",""
"17911-16376","SF","Dorian","","Finney-Smith","10.595999755859374","50","3500","POR@DAL","DAL","POR","","","",""
"17911-15993","SG","Pat","","Connaughton","3.6875","24","3500","POR@DAL","POR","DAL","","","",""
"17911-9466","PG","D.J.","","Augustin","14.74230722280649","52","3500","ORL@HOU","ORL","HOU","","","",""
