Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17927-14522,PF,Nikola,,Mirotic,18.53695679,46,3700,CHI@GS,CHI,GS,,
17927-16604,SG,Justin,,Holiday,14.29622665,53,3700,LAC@NY,NY,LAC,,
17927-55057,C,Jusuf,,Nurkic,18.0204551,44,3700,DEN@ATL,DEN,ATL,,
17927-58153,SF,Kelly,,Oubre Jr.,13.02040816,49,3700,WAS@BKN,WAS,BKN,,
17927-9565,PG,Jordan,,Farmar,15.05000019,2,3700,BOS@SAC,SAC,BOS,,
17927-15744,SF,Rodney,,McGruder,13.35208384,48,3700,MIA@MIL,MIA,MIL,,
17927-18821,SF,Jonathon,,Simmons,12.95416641,48,3700,SA@PHI,SA,PHI,,
17927-9609,C,Al,,Jefferson,15.76862769,51,3700,CLE@IND,IND,CLE,,
17927-59318,SF,Joe,,Ingles,14.33846107,52,3700,UTA@NO,UTA,NO,,
17927-9723,PG,Ronnie,,Price,12.48870948,62,3700,PHO@MEM,PHO,MEM,,
17927-16405,SF,Terrence,,Ross,16.84230746,52,3600,TOR@MIN,TOR,MIN,,
17927-66091,PF,Cheick,,Diallo,10.4333335,9,3600,UTA@NO,NO,UTA,,
17927-37931,C,Aron,,Baynes,10.55306073,49,3600,LAL@DET,DET,LAL,,
17927-12340,PF,Patrick,,Patterson,17.42250061,40,3600,TOR@MIN,TOR,MIN,GTD,Knee
17927-23665,SG,Buddy,,Hield,14.03076876,52,3600,UTA@NO,NO,UTA,,
17927-15996,PG,Jerian,,Grant,10.61219527,41,3600,CHI@GS,CHI,GS,,
17927-70822,PF,Juancho,,Hernangomez,8.417143032,35,3600,DEN@ATL,DEN,ATL,,
17927-14506,SG,Brandon,,Knight,17.07551045,49,3600,PHO@MEM,PHO,MEM,,
17927-70832,SF,Paul,,Zipser,7.945454684,22,3600,CHI@GS,CHI,GS,,
17927-24247,PG,Fred,,VanVleet,6.085714431,21,3600,TOR@MIN,TOR,MIN,,
17927-14529,PG,Cory,,Joseph,16.70980416,51,3600,TOR@MIN,TOR,MIN,,
17927-9939,PG,Patty,,Mills,17.43199951,50,3600,SA@PHI,SA,PHI,,
17927-9956,SG,Wayne,,Ellington,16.70624924,32,3600,MIA@MIL,MIA,MIL,,
17927-9960,PF,Omri,,Casspi,12.77272727,22,3600,BOS@SAC,SAC,BOS,O,Foot
17927-23800,SF,Glenn,,Robinson III,12.8755107,49,3600,CLE@IND,IND,CLE,,
17927-23801,SG,Nik,,Stauskas,15.37346914,49,3600,SA@PHI,PHI,SA,,
17927-9587,SF,Michael,,Beasley,14.91904704,42,3600,MIA@MIL,MIL,MIA,,
17927-23447,PF,Richaun,,Holmes,14.85517199,29,3600,SA@PHI,PHI,SA,,
17927-15788,C,Justin,,Hamilton,15.58888889,45,3600,WAS@BKN,BKN,WAS,,
17927-9674,SG,Leandro,,Barbosa,9.633333206,48,3600,PHO@MEM,PHO,MEM,,
17927-9677,PF,Jared,,Dudley,14.05142822,35,3600,PHO@MEM,PHO,MEM,,
17927-24546,SG,Denzel,,Valentine,6.862963076,27,3600,CHI@GS,CHI,GS,,
17927-9704,SG,Manu,,Ginobili,16.44318182,44,3600,SA@PHI,SA,PHI,,
17927-19456,PG,Isaiah,,Canaan,9.810344828,29,3500,CHI@GS,CHI,GS,,
17927-9733,SG,Randy,,Foye,11.23846123,39,3500,WAS@BKN,BKN,WAS,,
17927-9734,SF,Mike,,Miller,3.254545385,11,3500,DEN@ATL,DEN,ATL,,
17927-58378,C,Jakob,,Poeltl,6.367857252,28,3500,TOR@MIN,TOR,MIN,,
17927-9739,C,JaVale,,McGee,10.55652187,46,3500,CHI@GS,GS,CHI,,
17927-66064,SG,Malik,,Beasley,4.760000102,15,3500,DEN@ATL,DEN,ATL,,
17927-23572,SF,Taurean,,Prince,7.048387097,31,3500,DEN@ATL,ATL,DEN,,
17927-9752,PF,Jordan,,Hill,4.920000076,5,3500,TOR@MIN,MIN,TOR,,
17927-12335,PF,Kevin,,Seraphin,9.003571647,28,3500,CLE@IND,IND,CLE,,
17927-9783,C,Joel,,Anthony,4.98333327,6,3500,SA@PHI,SA,PHI,,
17927-12344,PG,Greivis,,Vasquez,6.633333206,3,3500,WAS@BKN,BKN,WAS,,
17927-43064,PG,Kay,,Felder,8.783870574,31,3500,CLE@IND,CLE,IND,,
17927-9785,SG,James,,Jones,4.416666667,30,3500,CLE@IND,CLE,IND,,
17927-23097,SG,Tomas,,Satoransky,8.497142683,35,3500,WAS@BKN,WAS,BKN,,
17927-12348,SF,Wesley,,Johnson,9.3,45,3500,LAC@NY,LAC,NY,,
17927-66109,PF,Skal,,Labissiere,5.733333588,6,3500,BOS@SAC,SAC,BOS,,
17927-12349,SF,Luke,,Babbitt,8.504651447,43,3500,MIA@MIL,MIA,MIL,,
